goos: darwin
goarch: arm64
pkg: github.com/jongio/grut/internal/ai
cpu: Apple M1 (Virtual)
BenchmarkRedactContent/small_500B-3         	   14176	     87877 ns/op	    2176 B/op	      18 allocs/op
BenchmarkRedactContent/small_500B-3         	   13408	     85004 ns/op	    2179 B/op	      18 allocs/op
BenchmarkRedactContent/small_500B-3         	   13106	     87865 ns/op	    2179 B/op	      18 allocs/op
BenchmarkRedactContent/small_500B-3         	   13668	     88045 ns/op	    2178 B/op	      18 allocs/op
BenchmarkRedactContent/small_500B-3         	   13964	     84682 ns/op	    2181 B/op	      18 allocs/op
BenchmarkRedactContent/small_500B-3         	   14524	     80182 ns/op	    2176 B/op	      18 allocs/op
BenchmarkRedactContent/medium_5KB-3         	    1107	   1157409 ns/op	   37949 B/op	     117 allocs/op
BenchmarkRedactContent/medium_5KB-3         	    1113	   1127157 ns/op	   37854 B/op	     117 allocs/op
BenchmarkRedactContent/medium_5KB-3         	    1044	   1180361 ns/op	   38011 B/op	     117 allocs/op
BenchmarkRedactContent/medium_5KB-3         	    1053	   1196797 ns/op	   37959 B/op	     117 allocs/op
BenchmarkRedactContent/medium_5KB-3         	     932	   1238173 ns/op	   38070 B/op	     117 allocs/op
BenchmarkRedactContent/medium_5KB-3         	    1011	   1186812 ns/op	   38041 B/op	     117 allocs/op
BenchmarkRedactContent/large_50KB-3         	      97	  13362220 ns/op	  398474 B/op	     846 allocs/op
BenchmarkRedactContent/large_50KB-3         	      79	  13344529 ns/op	  398249 B/op	     845 allocs/op
BenchmarkRedactContent/large_50KB-3         	      82	  14556992 ns/op	  398250 B/op	     845 allocs/op
BenchmarkRedactContent/large_50KB-3         	      97	  13343193 ns/op	  398322 B/op	     845 allocs/op
BenchmarkRedactContent/large_50KB-3         	      88	  13485735 ns/op	  398331 B/op	     845 allocs/op
BenchmarkRedactContent/large_50KB-3         	      86	  15347149 ns/op	  398410 B/op	     846 allocs/op
BenchmarkRedactContent_NoMatch/small_500B-3 	    8088	    126718 ns/op	       4 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/small_500B-3 	    9604	    127676 ns/op	       0 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/small_500B-3 	    9964	    134054 ns/op	       3 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/small_500B-3 	    9642	    122043 ns/op	       0 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/small_500B-3 	   10000	    132640 ns/op	       3 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/small_500B-3 	    9624	    124178 ns/op	       3 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/medium_5KB-3 	     877	   1391389 ns/op	       0 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/medium_5KB-3 	     896	   1345900 ns/op	       0 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/medium_5KB-3 	     915	   1332439 ns/op	      48 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/medium_5KB-3 	     934	   1427495 ns/op	      87 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/medium_5KB-3 	     836	   1402228 ns/op	      53 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/medium_5KB-3 	     921	   1328019 ns/op	       0 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/large_50KB-3 	      79	  15896612 ns/op	       4 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/large_50KB-3 	      79	  15340055 ns/op	       4 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/large_50KB-3 	      74	  16418279 ns/op	       5 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/large_50KB-3 	      67	  15954172 ns/op	       5 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/large_50KB-3 	      80	  15764910 ns/op	      89 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/large_50KB-3 	      80	  15151741 ns/op	       4 B/op	       0 allocs/op
BenchmarkShouldExcludeFile/match_builtin-3  	17446128	        74.96 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludeFile/match_builtin-3  	17847835	        62.68 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludeFile/match_builtin-3  	19078545	        62.11 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludeFile/match_builtin-3  	18902102	        65.78 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludeFile/match_builtin-3  	19327288	        67.14 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludeFile/match_builtin-3  	19198975	        62.59 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludeFile/match_user_pattern-3         	  446480	      2344 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludeFile/match_user_pattern-3         	  557742	      2326 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludeFile/match_user_pattern-3         	  504592	      2329 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludeFile/match_user_pattern-3         	  503721	      2457 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludeFile/match_user_pattern-3         	  530959	      2433 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludeFile/match_user_pattern-3         	  524096	      2511 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludeFile/no_match-3                   	  703918	      1596 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludeFile/no_match-3                   	  792768	      1783 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludeFile/no_match-3                   	  724070	      1721 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludeFile/no_match-3                   	  749437	      1685 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludeFile/no_match-3                   	  746726	      1578 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludeFile/no_match-3                   	  708874	      1645 ns/op	       0 B/op	       0 allocs/op
BenchmarkNewRedactor-3                                  	 1976562	       592.2 ns/op	    1352 B/op	       5 allocs/op
BenchmarkNewRedactor-3                                  	 2090612	       612.5 ns/op	    1352 B/op	       5 allocs/op
BenchmarkNewRedactor-3                                  	 2152513	       613.8 ns/op	    1352 B/op	       5 allocs/op
BenchmarkNewRedactor-3                                  	 1762237	       624.0 ns/op	    1352 B/op	       5 allocs/op
BenchmarkNewRedactor-3                                  	 1954381	       649.0 ns/op	    1352 B/op	       5 allocs/op
BenchmarkNewRedactor-3                                  	 1924237	       764.3 ns/op	    1352 B/op	       5 allocs/op
PASS
ok  	github.com/jongio/grut/internal/ai	86.431s
goos: darwin
goarch: arm64
pkg: github.com/jongio/grut/internal/config
cpu: Apple M1 (Virtual)
BenchmarkValidate/valid_defaults-3         	  682137	      1734 ns/op	     867 B/op	      18 allocs/op
BenchmarkValidate/valid_defaults-3         	  740047	      1711 ns/op	     867 B/op	      18 allocs/op
BenchmarkValidate/valid_defaults-3         	  708003	      1661 ns/op	     867 B/op	      18 allocs/op
BenchmarkValidate/valid_defaults-3         	  775544	      1604 ns/op	     867 B/op	      18 allocs/op
