goos: linux
goarch: amd64
pkg: github.com/jongio/grut/internal/ai
cpu: AMD EPYC 9V74 80-Core Processor                
BenchmarkRedactContent/small_500B-4         	   14665	     84635 ns/op	    2181 B/op	      18 allocs/op
BenchmarkRedactContent/small_500B-4         	   14955	     82119 ns/op	    2178 B/op	      18 allocs/op
BenchmarkRedactContent/small_500B-4         	   14984	     79878 ns/op	    2178 B/op	      18 allocs/op
BenchmarkRedactContent/small_500B-4         	   14672	     80571 ns/op	    2176 B/op	      18 allocs/op
BenchmarkRedactContent/small_500B-4         	   15016	     79981 ns/op	    2183 B/op	      18 allocs/op
BenchmarkRedactContent/small_500B-4         	   14953	     81918 ns/op	    2178 B/op	      18 allocs/op
BenchmarkRedactContent/medium_5KB-4         	    1075	   1107212 ns/op	   38033 B/op	     117 allocs/op
BenchmarkRedactContent/medium_5KB-4         	    1072	   1126225 ns/op	   37958 B/op	     117 allocs/op
BenchmarkRedactContent/medium_5KB-4         	    1075	   1100628 ns/op	   37876 B/op	     117 allocs/op
BenchmarkRedactContent/medium_5KB-4         	    1080	   1101064 ns/op	   37998 B/op	     117 allocs/op
BenchmarkRedactContent/medium_5KB-4         	    1077	   1112816 ns/op	   38101 B/op	     117 allocs/op
BenchmarkRedactContent/medium_5KB-4         	    1078	   1119830 ns/op	   38040 B/op	     117 allocs/op
BenchmarkRedactContent/large_50KB-4         	      96	  12431699 ns/op	  398340 B/op	     845 allocs/op
BenchmarkRedactContent/large_50KB-4         	      93	  12412270 ns/op	  398492 B/op	     846 allocs/op
BenchmarkRedactContent/large_50KB-4         	      96	  12409191 ns/op	  398340 B/op	     845 allocs/op
BenchmarkRedactContent/large_50KB-4         	      96	  12483193 ns/op	  398265 B/op	     845 allocs/op
BenchmarkRedactContent/large_50KB-4         	      96	  12402267 ns/op	  398414 B/op	     846 allocs/op
BenchmarkRedactContent/large_50KB-4         	      93	  12576988 ns/op	  398262 B/op	     845 allocs/op
BenchmarkRedactContent_NoMatch/small_500B-4 	   10000	    108566 ns/op	       3 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/small_500B-4 	   10000	    110521 ns/op	       3 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/small_500B-4 	   10000	    112602 ns/op	       3 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/small_500B-4 	   10000	    108601 ns/op	       3 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/small_500B-4 	   10000	    110142 ns/op	       3 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/small_500B-4 	   10000	    111874 ns/op	       0 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/medium_5KB-4 	     943	   1288350 ns/op	      54 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/medium_5KB-4 	     926	   1279028 ns/op	       1 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/medium_5KB-4 	     928	   1281199 ns/op	      48 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/medium_5KB-4 	     925	   1286444 ns/op	      48 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/medium_5KB-4 	     932	   1289283 ns/op	      55 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/medium_5KB-4 	     936	   1285625 ns/op	     134 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/large_50KB-4 	      82	  14512572 ns/op	      88 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/large_50KB-4 	      82	  14437830 ns/op	      88 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/large_50KB-4 	      84	  14432000 ns/op	      86 B/op	       0 allocs/op
