goos: linux
goarch: amd64
pkg: github.com/jongio/grut/internal/git
cpu: AMD EPYC 9V74 80-Core Processor                
BenchmarkParseStatus/10_files-4         	  649118	      1757 ns/op	    2704 B/op	      14 allocs/op
BenchmarkParseStatus/10_files-4         	  630004	      1747 ns/op	    2704 B/op	      14 allocs/op
BenchmarkParseStatus/10_files-4         	  635428	      1812 ns/op	    2704 B/op	      14 allocs/op
BenchmarkParseStatus/10_files-4         	  680095	      2023 ns/op	    2704 B/op	      14 allocs/op
BenchmarkParseStatus/10_files-4         	  638884	      1771 ns/op	    2704 B/op	      14 allocs/op
BenchmarkParseStatus/10_files-4         	  620239	      1772 ns/op	    2704 B/op	      14 allocs/op
BenchmarkParseStatus/100_files-4        	   75954	     15926 ns/op	   25248 B/op	      89 allocs/op
BenchmarkParseStatus/100_files-4        	   73396	     16014 ns/op	   25248 B/op	      89 allocs/op
BenchmarkParseStatus/100_files-4        	   75759	     15978 ns/op	   25248 B/op	      89 allocs/op
BenchmarkParseStatus/100_files-4        	   74452	     15968 ns/op	   25248 B/op	      89 allocs/op
BenchmarkParseStatus/100_files-4        	   74900	     16111 ns/op	   25248 B/op	      89 allocs/op
BenchmarkParseStatus/100_files-4        	   75014	     15995 ns/op	   25248 B/op	      89 allocs/op
BenchmarkParseStatus/500_files-4        	   15664	     76516 ns/op	  114592 B/op	     411 allocs/op
BenchmarkParseStatus/500_files-4        	   15700	     74782 ns/op	  114592 B/op	     411 allocs/op
BenchmarkParseStatus/500_files-4        	   16048	     76349 ns/op	  114592 B/op	     411 allocs/op
BenchmarkParseStatus/500_files-4        	   15822	     80624 ns/op	  114592 B/op	     411 allocs/op
BenchmarkParseStatus/500_files-4        	   16064	     74763 ns/op	  114592 B/op	     411 allocs/op
BenchmarkParseStatus/500_files-4        	   15590	     81679 ns/op	  114592 B/op	     411 allocs/op
BenchmarkParseStatus/100_renamed-4      	   50762	     23629 ns/op	   32928 B/op	     209 allocs/op
BenchmarkParseStatus/100_renamed-4      	   51397	     23657 ns/op	   32928 B/op	     209 allocs/op
BenchmarkParseStatus/100_renamed-4      	   51372	     23451 ns/op	   32928 B/op	     209 allocs/op
BenchmarkParseStatus/100_renamed-4      	   50918	     23749 ns/op	   32928 B/op	     209 allocs/op
BenchmarkParseStatus/100_renamed-4      	   51405	     23740 ns/op	   32928 B/op	     209 allocs/op
BenchmarkParseStatus/100_renamed-4      	   48472	     24808 ns/op	   32928 B/op	     209 allocs/op
BenchmarkParseStatusBranch-4            	  662590	      1719 ns/op	     928 B/op	       2 allocs/op
BenchmarkParseStatusBranch-4            	  647406	      1691 ns/op	     928 B/op	       2 allocs/op
BenchmarkParseStatusBranch-4            	  643699	      1727 ns/op	     928 B/op	       2 allocs/op
BenchmarkParseStatusBranch-4            	  642181	      1687 ns/op	     928 B/op	       2 allocs/op
BenchmarkParseStatusBranch-4            	  624998	      1696 ns/op	     928 B/op	       2 allocs/op
BenchmarkParseStatusBranch-4            	  624993	      1690 ns/op	     928 B/op	       2 allocs/op
BenchmarkParseDiff/10_lines-4           	  965931	      1039 ns/op	    1744 B/op	       9 allocs/op
BenchmarkParseDiff/10_lines-4           	  976657	      1161 ns/op	    1744 B/op	       9 allocs/op
BenchmarkParseDiff/10_lines-4           	 1018410	      1121 ns/op	    1744 B/op	       9 allocs/op
BenchmarkParseDiff/10_lines-4           	  967246	      1136 ns/op	    1744 B/op	       9 allocs/op
BenchmarkParseDiff/10_lines-4           	 1000000	      1064 ns/op	    1744 B/op	       9 allocs/op
BenchmarkParseDiff/10_lines-4           	 1109689	      1042 ns/op	    1744 B/op	       9 allocs/op
BenchmarkParseDiff/100_lines-4          	  174759	      6632 ns/op	   11280 B/op	      46 allocs/op
BenchmarkParseDiff/100_lines-4          	  179283	      6619 ns/op	   11280 B/op	      46 allocs/op
BenchmarkParseDiff/100_lines-4          	  178879	      6674 ns/op	   11280 B/op	      46 allocs/op
BenchmarkParseDiff/100_lines-4          	  176206	      6598 ns/op	   11280 B/op	      46 allocs/op
BenchmarkParseDiff/100_lines-4          	  178447	      6730 ns/op	   11280 B/op	      46 allocs/op
BenchmarkParseDiff/100_lines-4          	  175134	      6652 ns/op	   11280 B/op	      46 allocs/op
BenchmarkParseDiff/1000_lines-4         	   17992	     66182 ns/op	  119280 B/op	     448 allocs/op
BenchmarkParseDiff/1000_lines-4         	   18146	     66732 ns/op	  119280 B/op	     448 allocs/op
BenchmarkParseDiff/1000_lines-4         	   18272	     65984 ns/op	  119280 B/op	     448 allocs/op
BenchmarkParseDiff/1000_lines-4         	   17985	     66540 ns/op	  119280 B/op	     448 allocs/op
