goos: linux
goarch: amd64
pkg: github.com/jongio/grut/internal/git
cpu: AMD EPYC 7763 64-Core Processor                
BenchmarkParseStatus/10_files-4         	  667699	      1803 ns/op	    2704 B/op	      14 allocs/op
BenchmarkParseStatus/10_files-4         	  610854	      1822 ns/op	    2704 B/op	      14 allocs/op
BenchmarkParseStatus/10_files-4         	  624134	      1833 ns/op	    2704 B/op	      14 allocs/op
BenchmarkParseStatus/10_files-4         	  626433	      1902 ns/op	    2704 B/op	      14 allocs/op
BenchmarkParseStatus/10_files-4         	  573127	      1844 ns/op	    2704 B/op	      14 allocs/op
BenchmarkParseStatus/10_files-4         	  606062	      1861 ns/op	    2704 B/op	      14 allocs/op
BenchmarkParseStatus/100_files-4        	   69159	     16454 ns/op	   25248 B/op	      89 allocs/op
BenchmarkParseStatus/100_files-4        	   71635	     17400 ns/op	   25248 B/op	      89 allocs/op
BenchmarkParseStatus/100_files-4        	   71426	     17200 ns/op	   25248 B/op	      89 allocs/op
BenchmarkParseStatus/100_files-4        	   75086	     16133 ns/op	   25248 B/op	      89 allocs/op
BenchmarkParseStatus/100_files-4        	   74880	     16278 ns/op	   25248 B/op	      89 allocs/op
BenchmarkParseStatus/100_files-4        	   68716	     16512 ns/op	   25248 B/op	      89 allocs/op
BenchmarkParseStatus/500_files-4        	   15291	     78424 ns/op	  114592 B/op	     411 allocs/op
BenchmarkParseStatus/500_files-4        	   15266	     77937 ns/op	  114592 B/op	     411 allocs/op
BenchmarkParseStatus/500_files-4        	   15415	     77022 ns/op	  114592 B/op	     411 allocs/op
BenchmarkParseStatus/500_files-4        	   15349	     79657 ns/op	  114592 B/op	     411 allocs/op
BenchmarkParseStatus/500_files-4        	   14680	     83546 ns/op	  114592 B/op	     411 allocs/op
BenchmarkParseStatus/500_files-4        	   15001	     84743 ns/op	  114592 B/op	     411 allocs/op
BenchmarkParseStatus/100_renamed-4      	   48937	     25846 ns/op	   32928 B/op	     209 allocs/op
BenchmarkParseStatus/100_renamed-4      	   46962	     26368 ns/op	   32928 B/op	     209 allocs/op
BenchmarkParseStatus/100_renamed-4      	   46072	     26183 ns/op	   32928 B/op	     209 allocs/op
BenchmarkParseStatus/100_renamed-4      	   46008	     26273 ns/op	   32928 B/op	     209 allocs/op
BenchmarkParseStatus/100_renamed-4      	   48378	     26071 ns/op	   32928 B/op	     209 allocs/op
BenchmarkParseStatus/100_renamed-4      	   49971	     26375 ns/op	   32928 B/op	     209 allocs/op
BenchmarkParseStatusBranch-4            	  636442	      1774 ns/op	     928 B/op	       2 allocs/op
BenchmarkParseStatusBranch-4            	  632700	      1782 ns/op	     928 B/op	       2 allocs/op
BenchmarkParseStatusBranch-4            	  646800	      1775 ns/op	     928 B/op	       2 allocs/op
BenchmarkParseStatusBranch-4            	  631734	      1768 ns/op	     928 B/op	       2 allocs/op
BenchmarkParseStatusBranch-4            	  646827	      1793 ns/op	     928 B/op	       2 allocs/op
BenchmarkParseStatusBranch-4            	  657412	      1795 ns/op	     928 B/op	       2 allocs/op
BenchmarkParseDiff/10_lines-4           	  935955	      1158 ns/op	    1744 B/op	       9 allocs/op
BenchmarkParseDiff/10_lines-4           	 1020285	      1152 ns/op	    1744 B/op	       9 allocs/op
BenchmarkParseDiff/10_lines-4           	  895066	      1163 ns/op	    1744 B/op	       9 allocs/op
BenchmarkParseDiff/10_lines-4           	 1026435	      1198 ns/op	    1744 B/op	       9 allocs/op
BenchmarkParseDiff/10_lines-4           	  998055	      1143 ns/op	    1744 B/op	       9 allocs/op
BenchmarkParseDiff/10_lines-4           	  951375	      1172 ns/op	    1744 B/op	       9 allocs/op
BenchmarkParseDiff/100_lines-4          	  150139	      7477 ns/op	   11280 B/op	      46 allocs/op
BenchmarkParseDiff/100_lines-4          	  164569	      7364 ns/op	   11280 B/op	      46 allocs/op
BenchmarkParseDiff/100_lines-4          	  154989	      7607 ns/op	   11280 B/op	      46 allocs/op
BenchmarkParseDiff/100_lines-4          	  161138	      7844 ns/op	   11280 B/op	      46 allocs/op
BenchmarkParseDiff/100_lines-4          	  145352	      7540 ns/op	   11280 B/op	      46 allocs/op
BenchmarkParseDiff/100_lines-4          	  149061	      7620 ns/op	   11280 B/op	      46 allocs/op
BenchmarkParseDiff/1000_lines-4         	   16824	     77666 ns/op	  119280 B/op	     448 allocs/op
BenchmarkParseDiff/1000_lines-4         	   15612	     70130 ns/op	  119280 B/op	     448 allocs/op
BenchmarkParseDiff/1000_lines-4         	   15720	     76116 ns/op	  119280 B/op	     448 allocs/op
BenchmarkParseDiff/1000_lines-4         	   14752	     76381 ns/op	  119280 B/op	     448 allocs/op
BenchmarkParseDiff/1000_lines-4         	   14884	     83100 ns/op	  119280 B/op	     448 allocs/op
BenchmarkParseDiff/1000_lines-4         	   14493	     78156 ns/op	  119280 B/op	     448 allocs/op
BenchmarkParseHunkHeader/simple-4       	11678268	       103.0 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/simple-4       	11339925	       103.3 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/simple-4       	11301091	       103.6 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/simple-4       	11592264	       103.8 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/simple-4       	11603124	       103.9 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/simple-4       	11894590	       102.7 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/with_context-4 	10944062	       108.7 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/with_context-4 	10996491	       108.4 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/with_context-4 	11094974	       110.3 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/with_context-4 	10816964	       109.9 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/with_context-4 	10665866	       110.2 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/with_context-4 	10860709	       109.3 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/large_range-4  	 9858190	       120.4 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/large_range-4  	 9836558	       121.2 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/large_range-4  	 9939982	       120.5 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/large_range-4  	 9946178	       121.1 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/large_range-4  	 9523566	       120.5 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/large_range-4  	 9773028	       120.4 ns/op	      32 B/op	       1 allocs/op
BenchmarkUndoStack/record_50-4          	   52887	     23039 ns/op	   23460 B/op	     208 allocs/op
BenchmarkUndoStack/record_50-4          	   52964	     22395 ns/op	   23460 B/op	     208 allocs/op
BenchmarkUndoStack/record_50-4          	   51134	     23277 ns/op	   23460 B/op	     208 allocs/op
BenchmarkUndoStack/record_50-4          	   54702	     23316 ns/op	   23460 B/op	     208 allocs/op
BenchmarkUndoStack/record_50-4          	   51190	     23130 ns/op	   23460 B/op	     208 allocs/op
BenchmarkUndoStack/record_50-4          	   53080	     22587 ns/op	   23460 B/op	     208 allocs/op
BenchmarkUndoStack/record_overflow-4    	   13592	     90183 ns/op	   89362 B/op	     811 allocs/op
BenchmarkUndoStack/record_overflow-4    	   13032	     89003 ns/op	   89361 B/op	     811 allocs/op
BenchmarkUndoStack/record_overflow-4    	   12974	     90710 ns/op	   89361 B/op	     811 allocs/op
BenchmarkUndoStack/record_overflow-4    	   13354	     90284 ns/op	   89361 B/op	     811 allocs/op
BenchmarkUndoStack/record_overflow-4    	   13207	     92453 ns/op	   89361 B/op	     811 allocs/op
BenchmarkUndoStack/record_overflow-4    	   12958	     91228 ns/op	   89362 B/op	     811 allocs/op
BenchmarkUndoStack/peek_undo-4          	140533694	         8.524 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/peek_undo-4          	139924707	         8.536 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/peek_undo-4          	140393964	         8.623 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/peek_undo-4          	140444986	         8.547 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/peek_undo-4          	140379583	         8.614 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/peek_undo-4          	140670837	         8.547 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/can_undo_redo-4      	98274834	        11.59 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/can_undo_redo-4      	100000000	        11.59 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/can_undo_redo-4      	100000000	        11.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/can_undo_redo-4      	100000000	        11.58 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/can_undo_redo-4      	100000000	        11.59 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/can_undo_redo-4      	100000000	        11.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkJoinPaths-4                    	  833722	      1279 ns/op	    2688 B/op	       1 allocs/op
BenchmarkJoinPaths-4                    	  894530	      1267 ns/op	    2688 B/op	       1 allocs/op
BenchmarkJoinPaths-4                    	  919317	      1396 ns/op	    2688 B/op	       1 allocs/op
BenchmarkJoinPaths-4                    	  725482	      1390 ns/op	    2688 B/op	       1 allocs/op
BenchmarkJoinPaths-4                    	  809642	      1291 ns/op	    2688 B/op	       1 allocs/op
BenchmarkJoinPaths-4                    	  867175	      1316 ns/op	    2688 B/op	       1 allocs/op
