goos: linux
goarch: amd64
pkg: github.com/jongio/grut/internal/git
cpu: INTEL(R) XEON(R) PLATINUM 8573C
BenchmarkParseStatus/10_files-4         	  730809	      1532 ns/op	    2704 B/op	      14 allocs/op
BenchmarkParseStatus/10_files-4         	  712126	      1575 ns/op	    2704 B/op	      14 allocs/op
BenchmarkParseStatus/10_files-4         	  725506	      1559 ns/op	    2704 B/op	      14 allocs/op
BenchmarkParseStatus/10_files-4         	  715446	      1573 ns/op	    2704 B/op	      14 allocs/op
BenchmarkParseStatus/10_files-4         	  722989	      1575 ns/op	    2704 B/op	      14 allocs/op
BenchmarkParseStatus/10_files-4         	  748065	      1573 ns/op	    2704 B/op	      14 allocs/op
BenchmarkParseStatus/100_files-4        	   88072	     13594 ns/op	   25248 B/op	      89 allocs/op
BenchmarkParseStatus/100_files-4        	   84043	     13677 ns/op	   25248 B/op	      89 allocs/op
BenchmarkParseStatus/100_files-4        	   91755	     14435 ns/op	   25248 B/op	      89 allocs/op
BenchmarkParseStatus/100_files-4        	   85953	     13818 ns/op	   25248 B/op	      89 allocs/op
BenchmarkParseStatus/100_files-4        	   83362	     13728 ns/op	   25248 B/op	      89 allocs/op
BenchmarkParseStatus/100_files-4        	   87984	     13723 ns/op	   25248 B/op	      89 allocs/op
BenchmarkParseStatus/500_files-4        	   17886	     66349 ns/op	  114592 B/op	     411 allocs/op
BenchmarkParseStatus/500_files-4        	   17778	     68506 ns/op	  114592 B/op	     411 allocs/op
BenchmarkParseStatus/500_files-4        	   17484	     65915 ns/op	  114592 B/op	     411 allocs/op
BenchmarkParseStatus/500_files-4        	   18252	     66736 ns/op	  114592 B/op	     411 allocs/op
BenchmarkParseStatus/500_files-4        	   18235	     65043 ns/op	  114592 B/op	     411 allocs/op
BenchmarkParseStatus/500_files-4        	   18555	     66040 ns/op	  114592 B/op	     411 allocs/op
BenchmarkParseStatus/100_renamed-4      	   58645	     20504 ns/op	   32928 B/op	     209 allocs/op
BenchmarkParseStatus/100_renamed-4      	   57504	     20413 ns/op	   32928 B/op	     209 allocs/op
BenchmarkParseStatus/100_renamed-4      	   58232	     20585 ns/op	   32928 B/op	     209 allocs/op
BenchmarkParseStatus/100_renamed-4      	   58557	     20878 ns/op	   32928 B/op	     209 allocs/op
BenchmarkParseStatus/100_renamed-4      	   57685	     20812 ns/op	   32928 B/op	     209 allocs/op
BenchmarkParseStatus/100_renamed-4      	   57319	     20812 ns/op	   32928 B/op	     209 allocs/op
BenchmarkParseStatusBranch-4            	  665142	      1688 ns/op	     928 B/op	       2 allocs/op
BenchmarkParseStatusBranch-4            	  649706	      1718 ns/op	     928 B/op	       2 allocs/op
BenchmarkParseStatusBranch-4            	  687195	      1731 ns/op	     928 B/op	       2 allocs/op
BenchmarkParseStatusBranch-4            	  631299	      1739 ns/op	     928 B/op	       2 allocs/op
BenchmarkParseStatusBranch-4            	  655818	      1698 ns/op	     928 B/op	       2 allocs/op
BenchmarkParseStatusBranch-4            	  676194	      1711 ns/op	     928 B/op	       2 allocs/op
BenchmarkParseDiff/10_lines-4           	 1209789	       995.6 ns/op	    1744 B/op	       9 allocs/op
BenchmarkParseDiff/10_lines-4           	 1215236	       994.4 ns/op	    1744 B/op	       9 allocs/op
BenchmarkParseDiff/10_lines-4           	 1213575	       991.3 ns/op	    1744 B/op	       9 allocs/op
BenchmarkParseDiff/10_lines-4           	 1000000	      1010 ns/op	    1744 B/op	       9 allocs/op
BenchmarkParseDiff/10_lines-4           	 1229248	       987.9 ns/op	    1744 B/op	       9 allocs/op
BenchmarkParseDiff/10_lines-4           	 1000000	      1003 ns/op	    1744 B/op	       9 allocs/op
BenchmarkParseDiff/100_lines-4          	  177582	      6612 ns/op	   11280 B/op	      46 allocs/op
BenchmarkParseDiff/100_lines-4          	  191011	      6563 ns/op	   11280 B/op	      46 allocs/op
BenchmarkParseDiff/100_lines-4          	  182760	      6738 ns/op	   11280 B/op	      46 allocs/op
BenchmarkParseDiff/100_lines-4          	  172908	      6588 ns/op	   11280 B/op	      46 allocs/op
BenchmarkParseDiff/100_lines-4          	  180253	      6581 ns/op	   11280 B/op	      46 allocs/op
BenchmarkParseDiff/100_lines-4          	  184911	      6551 ns/op	   11280 B/op	      46 allocs/op
BenchmarkParseDiff/1000_lines-4         	   18164	     65615 ns/op	  119280 B/op	     448 allocs/op
BenchmarkParseDiff/1000_lines-4         	   17874	     65863 ns/op	  119280 B/op	     448 allocs/op
BenchmarkParseDiff/1000_lines-4         	   18213	     67073 ns/op	  119280 B/op	     448 allocs/op
BenchmarkParseDiff/1000_lines-4         	   17902	     66522 ns/op	  119280 B/op	     448 allocs/op
BenchmarkParseDiff/1000_lines-4         	   18044	     66355 ns/op	  119280 B/op	     448 allocs/op
BenchmarkParseDiff/1000_lines-4         	   18084	     65743 ns/op	  119280 B/op	     448 allocs/op
BenchmarkParseHunkHeader/simple-4       	12793077	        91.47 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/simple-4       	13093030	        91.34 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/simple-4       	13098249	        91.58 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/simple-4       	13393225	        90.29 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/simple-4       	12805338	        89.50 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/simple-4       	12978777	        91.77 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/with_context-4 	11890948	       100.2 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/with_context-4 	12100018	        97.47 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/with_context-4 	12035474	        98.04 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/with_context-4 	12235933	        97.11 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/with_context-4 	12478179	        97.16 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/with_context-4 	11900101	        96.68 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/large_range-4  	10632946	       111.5 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/large_range-4  	10526341	       110.8 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/large_range-4  	10946298	       109.9 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/large_range-4  	10564884	       109.9 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/large_range-4  	10517908	       111.4 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/large_range-4  	10660438	       110.0 ns/op	      32 B/op	       1 allocs/op
BenchmarkUndoStack/record_50-4          	   72633	     16415 ns/op	   23460 B/op	     208 allocs/op
BenchmarkUndoStack/record_50-4          	   72903	     16640 ns/op	   23460 B/op	     208 allocs/op
BenchmarkUndoStack/record_50-4          	   71086	     16744 ns/op	   23460 B/op	     208 allocs/op
BenchmarkUndoStack/record_50-4          	   73161	     16573 ns/op	   23460 B/op	     208 allocs/op
BenchmarkUndoStack/record_50-4          	   73095	     16842 ns/op	   23460 B/op	     208 allocs/op
BenchmarkUndoStack/record_50-4          	   71006	     16816 ns/op	   23460 B/op	     208 allocs/op
BenchmarkUndoStack/record_overflow-4    	   17598	     68600 ns/op	   89362 B/op	     811 allocs/op
BenchmarkUndoStack/record_overflow-4    	   17563	     68298 ns/op	   89362 B/op	     811 allocs/op
BenchmarkUndoStack/record_overflow-4    	   17407	     69060 ns/op	   89362 B/op	     811 allocs/op
BenchmarkUndoStack/record_overflow-4    	   17566	     69528 ns/op	   89362 B/op	     811 allocs/op
BenchmarkUndoStack/record_overflow-4    	   17449	     69333 ns/op	   89362 B/op	     811 allocs/op
BenchmarkUndoStack/record_overflow-4    	   17582	     68174 ns/op	   89362 B/op	     811 allocs/op
BenchmarkUndoStack/peek_undo-4          	64544409	        17.67 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/peek_undo-4          	65555295	        17.43 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/peek_undo-4          	68894816	        17.90 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/peek_undo-4          	63434767	        17.84 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/peek_undo-4          	64509646	        17.84 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/peek_undo-4          	65590544	        17.75 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/can_undo_redo-4      	35757079	        33.21 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/can_undo_redo-4      	35057718	        32.69 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/can_undo_redo-4      	35996958	        32.93 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/can_undo_redo-4      	35256345	        33.15 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/can_undo_redo-4      	35400064	        32.81 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/can_undo_redo-4      	35102388	        33.25 ns/op	       0 B/op	       0 allocs/op
BenchmarkJoinPaths-4                    	  919708	      1159 ns/op	    2688 B/op	       1 allocs/op
BenchmarkJoinPaths-4                    	  996289	      1165 ns/op	    2688 B/op	       1 allocs/op
BenchmarkJoinPaths-4                    	  959814	      1154 ns/op	    2688 B/op	       1 allocs/op
BenchmarkJoinPaths-4                    	  961550	      1161 ns/op	    2688 B/op	       1 allocs/op
BenchmarkJoinPaths-4                    	  956058	      1155 ns/op	    2688 B/op	       1 allocs/op
BenchmarkJoinPaths-4                    	 1000000	      1168 ns/op	    2688 B/op	       1 allocs/op
BenchmarkSplitPaths-4                   	  535957	      2286 ns/op	    6208 B/op	       7 allocs/op
BenchmarkSplitPaths-4                   	  478574	      2297 ns/op	    6208 B/op	       7 allocs/op
BenchmarkSplitPaths-4                   	  495073	      2254 ns/op	    6208 B/op	       7 allocs/op
BenchmarkSplitPaths-4                   	  505126	      2280 ns/op	    6208 B/op	       7 allocs/op
BenchmarkSplitPaths-4                   	  503557	      2397 ns/op	    6208 B/op	       7 allocs/op
BenchmarkSplitPaths-4                   	  522415	      2351 ns/op	    6208 B/op	       7 allocs/op
PASS
ok  	github.com/jongio/grut/internal/git	142.453s
goos: linux
goarch: amd64
pkg: github.com/jongio/grut/internal/ai
cpu: INTEL(R) XEON(R) PLATINUM 8573C
BenchmarkRedactContent/small_500B-4         	    8292	    137251 ns/op	    6073 B/op	      25 allocs/op
BenchmarkRedactContent/small_500B-4         	    8469	    137492 ns/op	    6064 B/op	      25 allocs/op
BenchmarkRedactContent/small_500B-4         	    8724	    136352 ns/op	    6082 B/op	      25 allocs/op
BenchmarkRedactContent/small_500B-4         	    8191	    135690 ns/op	    6070 B/op	      25 allocs/op
BenchmarkRedactContent/small_500B-4         	    8384	    137197 ns/op	    6069 B/op	      25 allocs/op
BenchmarkRedactContent/small_500B-4         	    8895	    135188 ns/op	    6069 B/op	      25 allocs/op
BenchmarkRedactContent/medium_5KB-4         	     496	   2423106 ns/op	  125460 B/op	     104 allocs/op
BenchmarkRedactContent/medium_5KB-4         	     495	   2413316 ns/op	  125397 B/op	     105 allocs/op
BenchmarkRedactContent/medium_5KB-4         	     486	   2396924 ns/op	  125751 B/op	     104 allocs/op
BenchmarkRedactContent/medium_5KB-4         	     499	   2409715 ns/op	  125813 B/op	     104 allocs/op
BenchmarkRedactContent/medium_5KB-4         	     499	   2419118 ns/op	  125753 B/op	     104 allocs/op
BenchmarkRedactContent/medium_5KB-4         	     488	   2425957 ns/op	  125533 B/op	     104 allocs/op
BenchmarkRedactContent/large_50KB-4         	      43	  27645439 ns/op	 1645839 B/op	     584 allocs/op
BenchmarkRedactContent/large_50KB-4         	      43	  27707652 ns/op	 1646179 B/op	     585 allocs/op
BenchmarkRedactContent/large_50KB-4         	      43	  27121067 ns/op	 1645839 B/op	     584 allocs/op
BenchmarkRedactContent/large_50KB-4         	      42	  27430692 ns/op	 1645849 B/op	     584 allocs/op
BenchmarkRedactContent/large_50KB-4         	      43	  27343100 ns/op	 1645837 B/op	     583 allocs/op
BenchmarkRedactContent/large_50KB-4         	      43	  27537411 ns/op	 1646015 B/op	     584 allocs/op
BenchmarkRedactContent_NoMatch/small_500B-4 	    8854	    132741 ns/op	       4 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/small_500B-4 	    9008	    132239 ns/op	       4 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/small_500B-4 	    8530	    135563 ns/op	       0 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/small_500B-4 	    8906	    132562 ns/op	       0 B/op	       0 allocs/op
