goos: windows
goarch: amd64
pkg: github.com/jongio/grut/internal/git
cpu: 13th Gen Intel(R) Core(TM) i9-13900K
BenchmarkParseStatus/10_files-32 	  758754	      1680 ns/op	    2704 B/op	      14 allocs/op
BenchmarkParseStatus/10_files-32 	  616687	      1779 ns/op	    2704 B/op	      14 allocs/op
BenchmarkParseStatus/10_files-32 	  668144	      2163 ns/op	    2704 B/op	      14 allocs/op
BenchmarkParseStatus/10_files-32 	  552715	      2105 ns/op	    2704 B/op	      14 allocs/op
BenchmarkParseStatus/10_files-32 	  641271	      2142 ns/op	    2704 B/op	      14 allocs/op
BenchmarkParseStatus/10_files-32 	  552958	      2155 ns/op	    2704 B/op	      14 allocs/op
BenchmarkParseStatus/100_files-32         	   68658	     18402 ns/op	   25248 B/op	      89 allocs/op
BenchmarkParseStatus/100_files-32         	   58340	     19208 ns/op	   25248 B/op	      89 allocs/op
BenchmarkParseStatus/100_files-32         	   60024	     19609 ns/op	   25248 B/op	      89 allocs/op
BenchmarkParseStatus/100_files-32         	   65757	     19837 ns/op	   25248 B/op	      89 allocs/op
BenchmarkParseStatus/100_files-32         	   59299	     21159 ns/op	   25248 B/op	      89 allocs/op
BenchmarkParseStatus/100_files-32         	   63120	     18587 ns/op	   25248 B/op	      89 allocs/op
BenchmarkParseStatus/500_files-32         	   10000	    114972 ns/op	  114592 B/op	     411 allocs/op
BenchmarkParseStatus/500_files-32         	   10000	    110698 ns/op	  114592 B/op	     411 allocs/op
BenchmarkParseStatus/500_files-32         	   12954	    103025 ns/op	  114592 B/op	     411 allocs/op
BenchmarkParseStatus/500_files-32         	   10000	    109664 ns/op	  114592 B/op	     411 allocs/op
BenchmarkParseStatus/500_files-32         	   10000	    118682 ns/op	  114592 B/op	     411 allocs/op
BenchmarkParseStatus/500_files-32         	   10000	    104346 ns/op	  114592 B/op	     411 allocs/op
BenchmarkParseStatus/100_renamed-32       	   29407	     42295 ns/op	   32928 B/op	     209 allocs/op
BenchmarkParseStatus/100_renamed-32       	   28801	     34741 ns/op	   32928 B/op	     209 allocs/op
BenchmarkParseStatus/100_renamed-32       	   30375	     35330 ns/op	   32928 B/op	     209 allocs/op
BenchmarkParseStatus/100_renamed-32       	   30034	     40528 ns/op	   32928 B/op	     209 allocs/op
BenchmarkParseStatus/100_renamed-32       	   29083	     40234 ns/op	   32928 B/op	     209 allocs/op
BenchmarkParseStatus/100_renamed-32       	   33637	     40092 ns/op	   32928 B/op	     209 allocs/op
BenchmarkParseStatusBranch-32             	  658887	      2146 ns/op	     928 B/op	       2 allocs/op
BenchmarkParseStatusBranch-32             	  639273	      2143 ns/op	     928 B/op	       2 allocs/op
BenchmarkParseStatusBranch-32             	  692164	      2203 ns/op	     928 B/op	       2 allocs/op
BenchmarkParseStatusBranch-32             	  688290	      2233 ns/op	     928 B/op	       2 allocs/op
BenchmarkParseStatusBranch-32             	  650522	      2134 ns/op	     928 B/op	       2 allocs/op
BenchmarkParseStatusBranch-32             	  673706	      2211 ns/op	     928 B/op	       2 allocs/op
BenchmarkParseDiff/10_lines-32            	 1000000	      2179 ns/op	    1744 B/op	       9 allocs/op
BenchmarkParseDiff/10_lines-32            	  445827	      2303 ns/op	    1744 B/op	       9 allocs/op
BenchmarkParseDiff/10_lines-32            	  556000	      2297 ns/op	    1744 B/op	       9 allocs/op
BenchmarkParseDiff/10_lines-32            	 1000000	      2118 ns/op	    1744 B/op	       9 allocs/op
BenchmarkParseDiff/10_lines-32            	  505111	      2240 ns/op	    1744 B/op	       9 allocs/op
BenchmarkParseDiff/10_lines-32            	 1000000	      1861 ns/op	    1744 B/op	       9 allocs/op
BenchmarkParseDiff/100_lines-32           	   97131	     12262 ns/op	   11280 B/op	      46 allocs/op
BenchmarkParseDiff/100_lines-32           	   91310	     11515 ns/op	   11280 B/op	      46 allocs/op
BenchmarkParseDiff/100_lines-32           	   78866	     12805 ns/op	   11280 B/op	      46 allocs/op
BenchmarkParseDiff/100_lines-32           	  112663	     13257 ns/op	   11280 B/op	      46 allocs/op
BenchmarkParseDiff/100_lines-32           	   73902	     14169 ns/op	   11280 B/op	      46 allocs/op
BenchmarkParseDiff/100_lines-32           	   99888	     13159 ns/op	   11280 B/op	      46 allocs/op
BenchmarkParseDiff/1000_lines-32          	   10000	    143014 ns/op	  119280 B/op	     448 allocs/op
BenchmarkParseDiff/1000_lines-32          	    7539	    133683 ns/op	  119280 B/op	     448 allocs/op
BenchmarkParseDiff/1000_lines-32          	   10000	    134920 ns/op	  119280 B/op	     448 allocs/op
BenchmarkParseDiff/1000_lines-32          	    8454	    158114 ns/op	  119280 B/op	     448 allocs/op
BenchmarkParseDiff/1000_lines-32          	   10000	    157331 ns/op	  119280 B/op	     448 allocs/op
BenchmarkParseDiff/1000_lines-32          	   10000	    157318 ns/op	  119280 B/op	     448 allocs/op
BenchmarkParseHunkHeader/simple-32        	12015463	       107.8 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/simple-32        	12764938	       100.9 ns/op	      32 B/op	       1 allocs/op
