goos: windows
goarch: amd64
pkg: github.com/jongio/grut/internal/git
cpu: 13th Gen Intel(R) Core(TM) i9-13900K
BenchmarkParseStatus/10_files-32 	  855139	      1348 ns/op	    2704 B/op	      14 allocs/op
BenchmarkParseStatus/10_files-32 	  866374	      1355 ns/op	    2704 B/op	      14 allocs/op
BenchmarkParseStatus/10_files-32 	  810044	      1362 ns/op	    2704 B/op	      14 allocs/op
BenchmarkParseStatus/10_files-32 	  774662	      1310 ns/op	    2704 B/op	      14 allocs/op
BenchmarkParseStatus/10_files-32 	  972958	      1298 ns/op	    2704 B/op	      14 allocs/op
BenchmarkParseStatus/10_files-32 	  946200	      1319 ns/op	    2704 B/op	      14 allocs/op
BenchmarkParseStatus/100_files-32         	   95610	     12000 ns/op	   25248 B/op	      89 allocs/op
BenchmarkParseStatus/100_files-32         	   93990	     11810 ns/op	   25248 B/op	      89 allocs/op
BenchmarkParseStatus/100_files-32         	   94497	     11737 ns/op	   25248 B/op	      89 allocs/op
BenchmarkParseStatus/100_files-32         	   95368	     11951 ns/op	   25248 B/op	      89 allocs/op
BenchmarkParseStatus/100_files-32         	  101270	     12593 ns/op	   25248 B/op	      89 allocs/op
BenchmarkParseStatus/100_files-32         	  101757	     12601 ns/op	   25248 B/op	      89 allocs/op
BenchmarkParseStatus/500_files-32         	   19848	     68734 ns/op	  114593 B/op	     411 allocs/op
BenchmarkParseStatus/500_files-32         	   19268	     61452 ns/op	  114593 B/op	     411 allocs/op
BenchmarkParseStatus/500_files-32         	   20716	     63398 ns/op	  114593 B/op	     411 allocs/op
BenchmarkParseStatus/500_files-32         	   20176	     68557 ns/op	  114594 B/op	     411 allocs/op
BenchmarkParseStatus/500_files-32         	   18614	     63145 ns/op	  114592 B/op	     411 allocs/op
BenchmarkParseStatus/500_files-32         	   19128	     63691 ns/op	  114592 B/op	     411 allocs/op
BenchmarkParseStatus/100_renamed-32       	   65992	     19810 ns/op	   32928 B/op	     209 allocs/op
BenchmarkParseStatus/100_renamed-32       	   70561	     19523 ns/op	   32928 B/op	     209 allocs/op
