goos: linux
goarch: amd64
pkg: github.com/jongio/grut/internal/git
cpu: 13th Gen Intel(R) Core(TM) i9-13900K
BenchmarkParseStatus/10_files-32 	  869938	      1354 ns/op	    2704 B/op	      14 allocs/op
BenchmarkParseStatus/10_files-32 	  870388	      1343 ns/op	    2704 B/op	      14 allocs/op
BenchmarkParseStatus/10_files-32 	  849072	      1334 ns/op	    2704 B/op	      14 allocs/op
BenchmarkParseStatus/10_files-32 	  795686	      1350 ns/op	    2704 B/op	      14 allocs/op
BenchmarkParseStatus/10_files-32 	  903942	      1343 ns/op	    2704 B/op	      14 allocs/op
BenchmarkParseStatus/10_files-32 	  926964	      1355 ns/op	    2704 B/op	      14 allocs/op
BenchmarkParseStatus/100_files-32         	   91208	     13546 ns/op	   25248 B/op	      89 allocs/op
BenchmarkParseStatus/100_files-32         	   96674	     12544 ns/op	   25248 B/op	      89 allocs/op
BenchmarkParseStatus/100_files-32         	   94117	     12437 ns/op	   25248 B/op	      89 allocs/op
BenchmarkParseStatus/100_files-32         	   95781	     12350 ns/op	   25249 B/op	      89 allocs/op
BenchmarkParseStatus/100_files-32         	   98462	     12766 ns/op	   25248 B/op	      89 allocs/op
BenchmarkParseStatus/100_files-32         	   99247	     12410 ns/op	   25249 B/op	      89 allocs/op
BenchmarkParseStatus/500_files-32         	   18885	     62158 ns/op	  114596 B/op	     411 allocs/op
BenchmarkParseStatus/500_files-32         	   19669	     63355 ns/op	  114595 B/op	     411 allocs/op
BenchmarkParseStatus/500_files-32         	   19795	     59903 ns/op	  114596 B/op	     411 allocs/op
BenchmarkParseStatus/500_files-32         	   19569	     62809 ns/op	  114594 B/op	     411 allocs/op
BenchmarkParseStatus/500_files-32         	   18066	     76284 ns/op	  114592 B/op	     411 allocs/op
BenchmarkParseStatus/500_files-32         	   15538	     74088 ns/op	  114592 B/op	     411 allocs/op
BenchmarkParseStatus/100_renamed-32       	   62155	     21094 ns/op	   32928 B/op	     209 allocs/op
BenchmarkParseStatus/100_renamed-32       	   53472	     21343 ns/op	   32928 B/op	     209 allocs/op
BenchmarkParseStatus/100_renamed-32       	   47991	     22131 ns/op	   32928 B/op	     209 allocs/op
BenchmarkParseStatus/100_renamed-32       	   57798	     22258 ns/op	   32928 B/op	     209 allocs/op
BenchmarkParseStatus/100_renamed-32       	   50371	     22056 ns/op	   32928 B/op	     209 allocs/op
BenchmarkParseStatus/100_renamed-32       	   55365	     21687 ns/op	   32928 B/op	     209 allocs/op
BenchmarkParseStatusBranch-32             	  938451	      1353 ns/op	     928 B/op	       2 allocs/op
BenchmarkParseStatusBranch-32             	  905013	      1385 ns/op	     928 B/op	       2 allocs/op
BenchmarkParseStatusBranch-32             	  922626	      1351 ns/op	     928 B/op	       2 allocs/op
BenchmarkParseStatusBranch-32             	  956930	      1324 ns/op	     928 B/op	       2 allocs/op
BenchmarkParseStatusBranch-32             	  902247	      1364 ns/op	     928 B/op	       2 allocs/op
BenchmarkParseStatusBranch-32             	  931406	      1363 ns/op	     928 B/op	       2 allocs/op
BenchmarkParseDiff/10_lines-32            	 1279297	       950.0 ns/op	    1744 B/op	       9 allocs/op
BenchmarkParseDiff/10_lines-32            	 1000000	      1098 ns/op	    1744 B/op	       9 allocs/op
BenchmarkParseDiff/10_lines-32            	 1233207	       973.8 ns/op	    1744 B/op	       9 allocs/op
BenchmarkParseDiff/10_lines-32            	 1000000	      1043 ns/op	    1744 B/op	       9 allocs/op
BenchmarkParseDiff/10_lines-32            	 1228231	       910.8 ns/op	    1744 B/op	       9 allocs/op
BenchmarkParseDiff/10_lines-32            	 1000000	      1017 ns/op	    1744 B/op	       9 allocs/op
BenchmarkParseDiff/100_lines-32           	  198600	      6566 ns/op	   11280 B/op	      46 allocs/op
BenchmarkParseDiff/100_lines-32           	  176371	      6515 ns/op	   11280 B/op	      46 allocs/op
BenchmarkParseDiff/100_lines-32           	  155565	      6698 ns/op	   11280 B/op	      46 allocs/op
BenchmarkParseDiff/100_lines-32           	  177117	      6919 ns/op	   11280 B/op	      46 allocs/op
BenchmarkParseDiff/100_lines-32           	  164671	      6950 ns/op	   11280 B/op	      46 allocs/op
BenchmarkParseDiff/100_lines-32           	  160035	      7458 ns/op	   11280 B/op	      46 allocs/op
BenchmarkParseDiff/1000_lines-32          	   16344	     72684 ns/op	  119281 B/op	     448 allocs/op
BenchmarkParseDiff/1000_lines-32          	   17553	     72009 ns/op	  119281 B/op	     448 allocs/op
BenchmarkParseDiff/1000_lines-32          	   16322	     78365 ns/op	  119281 B/op	     448 allocs/op
BenchmarkParseDiff/1000_lines-32          	   16004	     73653 ns/op	  119281 B/op	     448 allocs/op
BenchmarkParseDiff/1000_lines-32          	   15672	     80870 ns/op	  119281 B/op	     448 allocs/op
BenchmarkParseDiff/1000_lines-32          	   14630	     98798 ns/op	  119281 B/op	     448 allocs/op
BenchmarkParseHunkHeader/simple-32        	 8015900	       142.2 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/simple-32        	13576155	        77.18 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/simple-32        	14953050	        80.66 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/simple-32        	14597460	        74.36 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/simple-32        	14515755	        74.47 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/simple-32        	16156274	        77.65 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/with_context-32  	15087024	        89.76 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/with_context-32  	13966827	        89.01 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/with_context-32  	14325282	        81.83 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/with_context-32  	14500423	        82.18 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/with_context-32  	13974804	        90.40 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/with_context-32  	14754276	        78.22 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/large_range-32   	14072534	        84.20 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/large_range-32   	13487803	        83.23 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/large_range-32   	13210564	        82.49 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/large_range-32   	15005971	        85.90 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/large_range-32   	14363214	        81.63 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/large_range-32   	14732793	        82.90 ns/op	      32 B/op	       1 allocs/op
BenchmarkUndoStack/record_50-32           	   70708	     15449 ns/op	   23500 B/op	     208 allocs/op
BenchmarkUndoStack/record_50-32           	   77083	     14716 ns/op	   23500 B/op	     208 allocs/op
BenchmarkUndoStack/record_50-32           	   78522	     14726 ns/op	   23500 B/op	     208 allocs/op
BenchmarkUndoStack/record_50-32           	   81892	     13795 ns/op	   23500 B/op	     208 allocs/op
BenchmarkUndoStack/record_50-32           	   92368	     14513 ns/op	   23500 B/op	     208 allocs/op
BenchmarkUndoStack/record_50-32           	   89205	     13753 ns/op	   23501 B/op	     208 allocs/op
BenchmarkUndoStack/record_overflow-32     	   21978	     58342 ns/op	   89513 B/op	     811 allocs/op
BenchmarkUndoStack/record_overflow-32     	   22848	     52670 ns/op	   89515 B/op	     811 allocs/op
BenchmarkUndoStack/record_overflow-32     	   22749	     53932 ns/op	   89515 B/op	     811 allocs/op
BenchmarkUndoStack/record_overflow-32     	   22303	     51316 ns/op	   89516 B/op	     811 allocs/op
BenchmarkUndoStack/record_overflow-32     	   23150	     50783 ns/op	   89516 B/op	     811 allocs/op
BenchmarkUndoStack/record_overflow-32     	   23461	     52753 ns/op	   89516 B/op	     811 allocs/op
BenchmarkUndoStack/peek_undo-32           	100000000	        10.28 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/peek_undo-32           	100000000	        11.23 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/peek_undo-32           	100000000	        11.08 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/peek_undo-32           	100000000	        10.40 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/peek_undo-32           	100000000	        10.35 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/peek_undo-32           	100000000	        10.48 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/can_undo_redo-32       	62650101	        20.48 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/can_undo_redo-32       	58886401	        20.35 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/can_undo_redo-32       	53509476	        20.20 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/can_undo_redo-32       	50677815	        20.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/can_undo_redo-32       	59917101	        20.69 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/can_undo_redo-32       	60364350	        20.88 ns/op	       0 B/op	       0 allocs/op
BenchmarkJoinPaths-32                     	 1000000	      1046 ns/op	    2688 B/op	       1 allocs/op
