goos: windows
goarch: amd64
pkg: github.com/jongio/grut/internal/git
cpu: 13th Gen Intel(R) Core(TM) i9-13900K
BenchmarkParseStatus/10_files-32 	  476461	      2387 ns/op	    2704 B/op	      14 allocs/op
BenchmarkParseStatus/10_files-32 	  516850	      2005 ns/op	    2704 B/op	      14 allocs/op
BenchmarkParseStatus/10_files-32 	  667210	      1976 ns/op	    2704 B/op	      14 allocs/op
BenchmarkParseStatus/10_files-32 	  592317	      2090 ns/op	    2704 B/op	      14 allocs/op
BenchmarkParseStatus/10_files-32 	  723109	      2022 ns/op	    2704 B/op	      14 allocs/op
BenchmarkParseStatus/100_files-32         	   65505	     19622 ns/op	   25248 B/op	      89 allocs/op
BenchmarkParseStatus/100_files-32         	   58237	     17404 ns/op	   25248 B/op	      89 allocs/op
BenchmarkParseStatus/100_files-32         	   70586	     18162 ns/op	   25248 B/op	      89 allocs/op
BenchmarkParseStatus/100_files-32         	   61726	     17936 ns/op	   25248 B/op	      89 allocs/op
BenchmarkParseStatus/100_files-32         	   65080	     17926 ns/op	   25248 B/op	      89 allocs/op
BenchmarkParseStatus/500_files-32         	   16294	     85535 ns/op	  114592 B/op	     411 allocs/op
BenchmarkParseStatus/500_files-32         	   13106	     91123 ns/op	  114592 B/op	     411 allocs/op
BenchmarkParseStatus/500_files-32         	   13207	     83106 ns/op	  114592 B/op	     411 allocs/op
BenchmarkParseStatus/500_files-32         	   14552	     81547 ns/op	  114592 B/op	     411 allocs/op
BenchmarkParseStatus/500_files-32         	   15668	     87354 ns/op	  114592 B/op	     411 allocs/op
BenchmarkParseStatus/100_renamed-32       	   42897	     26381 ns/op	   32928 B/op	     209 allocs/op
BenchmarkParseStatus/100_renamed-32       	   39194	     28874 ns/op	   32928 B/op	     209 allocs/op
BenchmarkParseStatus/100_renamed-32       	   43488	     24543 ns/op	   32928 B/op	     209 allocs/op
BenchmarkParseStatus/100_renamed-32       	   53469	     24456 ns/op	   32928 B/op	     209 allocs/op
BenchmarkParseStatus/100_renamed-32       	   48841	     24708 ns/op	   32928 B/op	     209 allocs/op
BenchmarkParseStatusBranch-32             	  809595	      1342 ns/op	     928 B/op	       2 allocs/op
BenchmarkParseStatusBranch-32             	  826423	      1379 ns/op	     928 B/op	       2 allocs/op
BenchmarkParseStatusBranch-32             	  948054	      1479 ns/op	     928 B/op	       2 allocs/op
BenchmarkParseStatusBranch-32             	  860918	      1260 ns/op	     928 B/op	       2 allocs/op
BenchmarkParseStatusBranch-32             	  837942	      1483 ns/op	     928 B/op	       2 allocs/op
BenchmarkParseDiff/10_lines-32            	 1000000	      1166 ns/op	    1744 B/op	       9 allocs/op
BenchmarkParseDiff/10_lines-32            	 1000000	      1047 ns/op	    1744 B/op	       9 allocs/op
BenchmarkParseDiff/10_lines-32            	 1000000	      1028 ns/op	    1744 B/op	       9 allocs/op
BenchmarkParseDiff/10_lines-32            	  966157	      1179 ns/op	    1744 B/op	       9 allocs/op
BenchmarkParseDiff/10_lines-32            	 1205782	       968.4 ns/op	    1744 B/op	       9 allocs/op
BenchmarkParseDiff/100_lines-32           	  176371	      7013 ns/op	   11280 B/op	      46 allocs/op
BenchmarkParseDiff/100_lines-32           	  197648	      6692 ns/op	   11280 B/op	      46 allocs/op
BenchmarkParseDiff/100_lines-32           	  130855	      7653 ns/op	   11280 B/op	      46 allocs/op
BenchmarkParseDiff/100_lines-32           	  163780	      7527 ns/op	   11280 B/op	      46 allocs/op
BenchmarkParseDiff/100_lines-32           	  183247	      7431 ns/op	   11280 B/op	      46 allocs/op
BenchmarkParseDiff/1000_lines-32          	   17020	     66691 ns/op	  119280 B/op	     448 allocs/op
BenchmarkParseDiff/1000_lines-32          	   17768	     74339 ns/op	  119280 B/op	     448 allocs/op
BenchmarkParseDiff/1000_lines-32          	   14354	     85174 ns/op	  119280 B/op	     448 allocs/op
BenchmarkParseDiff/1000_lines-32          	   17354	     67615 ns/op	  119280 B/op	     448 allocs/op
BenchmarkParseDiff/1000_lines-32          	   13881	     87476 ns/op	  119280 B/op	     448 allocs/op
BenchmarkParseHunkHeader/simple-32        	10502730	       124.0 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/simple-32        	 9358052	       137.3 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/simple-32        	 9432908	       123.1 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/simple-32        	 9521488	       136.4 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/simple-32        	 9906752	       117.3 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/with_context-32  	 9991748	       121.6 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/with_context-32  	10555482	       106.1 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/with_context-32  	10413321	       104.7 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/with_context-32  	14598948	        92.75 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/with_context-32  	11639196	        96.06 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/large_range-32   	12478746	       101.3 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/large_range-32   	10448947	       109.1 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/large_range-32   	10481080	       104.9 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/large_range-32   	11326364	       111.3 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/large_range-32   	11282181	       135.6 ns/op	      32 B/op	       1 allocs/op
BenchmarkUndoStack/record_50-32           	   35678	     38981 ns/op	   23509 B/op	     208 allocs/op
BenchmarkUndoStack/record_50-32           	   54919	     21242 ns/op	   23514 B/op	     208 allocs/op
BenchmarkUndoStack/record_50-32           	   73042	     16853 ns/op	   23515 B/op	     208 allocs/op
BenchmarkUndoStack/record_50-32           	   72798	     14861 ns/op	   23514 B/op	     208 allocs/op
BenchmarkUndoStack/record_50-32           	   75724	     14801 ns/op	   23513 B/op	     208 allocs/op
BenchmarkUndoStack/record_overflow-32     	   20450	     55580 ns/op	   89562 B/op	     811 allocs/op
BenchmarkUndoStack/record_overflow-32     	   20913	     68086 ns/op	   89567 B/op	     811 allocs/op
BenchmarkUndoStack/record_overflow-32     	   12963	     90912 ns/op	   89571 B/op	     811 allocs/op
BenchmarkUndoStack/record_overflow-32     	   15398	     75148 ns/op	   89566 B/op	     811 allocs/op
BenchmarkUndoStack/record_overflow-32     	   18579	     58985 ns/op	   89558 B/op	     811 allocs/op
BenchmarkUndoStack/peek_undo-32           	100000000	        10.66 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/peek_undo-32           	100000000	        11.37 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/peek_undo-32           	100000000	        10.93 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/peek_undo-32           	100000000	        11.97 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/peek_undo-32           	100000000	        13.40 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/can_undo_redo-32       	49768988	        25.59 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/can_undo_redo-32       	50688304	        24.56 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/can_undo_redo-32       	44031364	        24.10 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/can_undo_redo-32       	51444739	        22.40 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/can_undo_redo-32       	55666630	        21.29 ns/op	       0 B/op	       0 allocs/op
BenchmarkJoinPaths-32                     	  948675	      1088 ns/op	    2688 B/op	       1 allocs/op
BenchmarkJoinPaths-32                     	 1000000	      1029 ns/op	    2688 B/op	       1 allocs/op
BenchmarkJoinPaths-32                     	 1000000	      1052 ns/op	    2688 B/op	       1 allocs/op
BenchmarkJoinPaths-32                     	 1000000	      1130 ns/op	    2688 B/op	       1 allocs/op
BenchmarkJoinPaths-32                     	 1081411	      1022 ns/op	    2688 B/op	       1 allocs/op
BenchmarkSplitPaths-32                    	  505554	      2386 ns/op	    6208 B/op	       7 allocs/op
BenchmarkSplitPaths-32                    	  573457	      2772 ns/op	    6208 B/op	       7 allocs/op
BenchmarkSplitPaths-32                    	  471274	      2594 ns/op	    6208 B/op	       7 allocs/op
BenchmarkSplitPaths-32                    	  552177	      2533 ns/op	    6208 B/op	       7 allocs/op
BenchmarkSplitPaths-32                    	  467538	      2553 ns/op	    6208 B/op	       7 allocs/op
PASS
ok  	github.com/jongio/grut/internal/git	325.722s
goos: windows
goarch: amd64
pkg: github.com/jongio/grut/internal/ai
cpu: 13th Gen Intel(R) Core(TM) i9-13900K
BenchmarkRedactContent/small_500B-32 	   12674	     99817 ns/op	    6096 B/op	      25 allocs/op
BenchmarkRedactContent/small_500B-32 	   12178	    115426 ns/op	    6103 B/op	      25 allocs/op
BenchmarkRedactContent/small_500B-32 	    7082	    143063 ns/op	    6107 B/op	      25 allocs/op
