goos: windows
goarch: amd64
pkg: github.com/jongio/grut/internal/git
cpu: 13th Gen Intel(R) Core(TM) i9-13900K
BenchmarkParseStatus/10_files-32 	  817722	      1436 ns/op	    2704 B/op	      14 allocs/op
BenchmarkParseStatus/10_files-32 	  795496	      1556 ns/op	    2704 B/op	      14 allocs/op
BenchmarkParseStatus/10_files-32 	  876333	      5291 ns/op	    2704 B/op	      14 allocs/op
BenchmarkParseStatus/10_files-32 	  206491	      5878 ns/op	    2704 B/op	      14 allocs/op
BenchmarkParseStatus/10_files-32 	  460881	      2645 ns/op	    2704 B/op	      14 allocs/op
BenchmarkParseStatus/10_files-32 	  426627	      2446 ns/op	    2704 B/op	      14 allocs/op
BenchmarkParseStatus/100_files-32         	   49382	     21420 ns/op	   25248 B/op	      89 allocs/op
BenchmarkParseStatus/100_files-32         	   57565	     21330 ns/op	   25248 B/op	      89 allocs/op
BenchmarkParseStatus/100_files-32         	   61053	     22089 ns/op	   25248 B/op	      89 allocs/op
BenchmarkParseStatus/100_files-32         	   49561	     23882 ns/op	   25248 B/op	      89 allocs/op
BenchmarkParseStatus/100_files-32         	   60870	     20508 ns/op	   25248 B/op	      89 allocs/op
BenchmarkParseStatus/100_files-32         	   53197	     21823 ns/op	   25248 B/op	      89 allocs/op
BenchmarkParseStatus/500_files-32         	   10584	    107665 ns/op	  114592 B/op	     411 allocs/op
BenchmarkParseStatus/500_files-32         	   10000	    112504 ns/op	  114592 B/op	     411 allocs/op
BenchmarkParseStatus/500_files-32         	   10000	    109787 ns/op	  114592 B/op	     411 allocs/op
BenchmarkParseStatus/500_files-32         	    9873	    119447 ns/op	  114592 B/op	     411 allocs/op
BenchmarkParseStatus/500_files-32         	   10000	    121035 ns/op	  114592 B/op	     411 allocs/op
BenchmarkParseStatus/500_files-32         	   10000	    120050 ns/op	  114592 B/op	     411 allocs/op
BenchmarkParseStatus/100_renamed-32       	   33121	     41611 ns/op	   32928 B/op	     209 allocs/op
BenchmarkParseStatus/100_renamed-32       	   25755	     42467 ns/op	   32928 B/op	     209 allocs/op
BenchmarkParseStatus/100_renamed-32       	   28414	     36167 ns/op	   32928 B/op	     209 allocs/op
BenchmarkParseStatus/100_renamed-32       	   27763	     36571 ns/op	   32928 B/op	     209 allocs/op
BenchmarkParseStatus/100_renamed-32       	   29350	     39218 ns/op	   32928 B/op	     209 allocs/op
BenchmarkParseStatus/100_renamed-32       	   31570	     37230 ns/op	   32928 B/op	     209 allocs/op
BenchmarkParseStatusBranch-32             	  665911	      2154 ns/op	     928 B/op	       2 allocs/op
BenchmarkParseStatusBranch-32             	  826161	      2221 ns/op	     928 B/op	       2 allocs/op
BenchmarkParseStatusBranch-32             	  714812	      2230 ns/op	     928 B/op	       2 allocs/op
BenchmarkParseStatusBranch-32             	  681624	      2162 ns/op	     928 B/op	       2 allocs/op
BenchmarkParseStatusBranch-32             	  790518	      2145 ns/op	     928 B/op	       2 allocs/op
BenchmarkParseStatusBranch-32             	  783836	      1875 ns/op	     928 B/op	       2 allocs/op
BenchmarkParseDiff/10_lines-32            	  601353	      1814 ns/op	    1744 B/op	       9 allocs/op
BenchmarkParseDiff/10_lines-32            	  632655	      1931 ns/op	    1744 B/op	       9 allocs/op
BenchmarkParseDiff/10_lines-32            	  891570	      2182 ns/op	    1744 B/op	       9 allocs/op
BenchmarkParseDiff/10_lines-32            	 1000000	      1743 ns/op	    1744 B/op	       9 allocs/op
BenchmarkParseDiff/10_lines-32            	  519140	      2017 ns/op	    1744 B/op	       9 allocs/op
BenchmarkParseDiff/10_lines-32            	 1000000	      2500 ns/op	    1744 B/op	       9 allocs/op
BenchmarkParseDiff/100_lines-32           	   97766	     12767 ns/op	   11280 B/op	      46 allocs/op
BenchmarkParseDiff/100_lines-32           	  111082	     11230 ns/op	   11280 B/op	      46 allocs/op
BenchmarkParseDiff/100_lines-32           	  111819	     11233 ns/op	   11280 B/op	      46 allocs/op
BenchmarkParseDiff/100_lines-32           	   94132	     10664 ns/op	   11280 B/op	      46 allocs/op
BenchmarkParseDiff/100_lines-32           	  138500	     11493 ns/op	   11280 B/op	      46 allocs/op
BenchmarkParseDiff/100_lines-32           	  101712	     10654 ns/op	   11280 B/op	      46 allocs/op
BenchmarkParseDiff/1000_lines-32          	   10000	    133145 ns/op	  119280 B/op	     448 allocs/op
BenchmarkParseDiff/1000_lines-32          	    6813	    155503 ns/op	  119280 B/op	     448 allocs/op
BenchmarkParseDiff/1000_lines-32          	   10000	    145249 ns/op	  119280 B/op	     448 allocs/op
BenchmarkParseDiff/1000_lines-32          	   10000	    132482 ns/op	  119280 B/op	     448 allocs/op
BenchmarkParseDiff/1000_lines-32          	    8872	    134748 ns/op	  119280 B/op	     448 allocs/op
BenchmarkParseDiff/1000_lines-32          	   10000	    140446 ns/op	  119280 B/op	     448 allocs/op
BenchmarkParseHunkHeader/simple-32        	16329195	        77.83 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/simple-32        	14902926	        80.04 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/simple-32        	16273789	        85.90 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/simple-32        	16136470	        90.74 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/simple-32        	13668390	        85.78 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/simple-32        	13736845	        84.93 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/with_context-32  	14491090	        88.32 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/with_context-32  	13879651	        90.59 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/with_context-32  	11077876	       105.5 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/with_context-32  	12272598	        92.16 ns/op	      32 B/op	       1 allocs/op
